Name,Address,Phone,Website,Email,Answered?,Pin Setter Notes,Ball Supplier,Founded,Alley Count,In-House Mechanic,Part Sourcing Strategies,Family-owned?,Future Outlook (1 to 5),Offers 10-pin as well?,,Notes,More Notes,More Notes
1-7-10 Sports Center,"PO Box 4683, Augusta, ME 04330",207-621-1710,www.1710bowl.com,,,,,,,,,,,,,,,
All Play Family Entertainment Center,"49 Searsport Ave., Belfast, ME 04915",207-218-1100,www.AllPlay-FEC.com,,,,,,,,,,,,,,,
Archie's Strike & Spare LLC,"135 Federal Road, Parsonfield, ME 04047",207-625-9508,,,,,,,,,,,,,,,,
Bangor Brewer Lanes,"534 Wilson Street, Brewer, ME 04412",207-989-3798,www.BowlBrewer.com,,,,,,,,,,,,,,,
Big 20 Bowling,"382 Route 1, Scarborough, ME 04074",207-883-2131,www.Big20Bowling.com,Desk@Big20Bowling.com,,,,,,,,,,,,,,
Newport Entertainment Center,"26 Main Street, Newport, ME 04953",207-368-2490,,,,,,,,,,,,,,,,
Old Town Bowling Center,"156 Center Street, Old Town, ME 04468",207-827-2874,,,,,,,,,,,,,,,,
Sammi's Family Entertainment Center,"402 Friendship Road, Waldoboro, ME 04572",207-832-7860,,,,,,,,,,,,,,,,
Saco Valley Sports Center,"95 Pine Street, Fryeburg, ME 04037",207-935-3777,www.SacoValleySportsCenter.com,,,,,,,,,,,,,,,
Just In Time Bowling Center,"24 Molliston Way, Lewiston, ME 04240",207-786-2695,,,,,,,,,,,,,,,,
West-Port Bowling Lanes,"135 Main Street, South Portland, ME 04106",207-854-9311,,,,,,,,,,,,,,,,
Stars & Strikes,"108 Park Street, South Paris, ME 04281",207-743-9863,,,,,,,,,,,,,,,,
Boutwell's Bowling Center,"152 North State Street, Concord, NH 03301",603-224-0941,www.boutwellsbowl.com,,,,,,,,,,,,,,,
Bowl-O-Rama,"599 Lafayette Road, Portsmouth, NH 03801",603-436-0504,www.bowlorama.com,in-website form,,,,,,,,,,,,,,
Exeter Bowling Lanes,"10 Columbus Avenue, Exeter, NH 03833",603-772-3856,,,,,,,,,,,,,,,,
King Bowling Lanes,"751 Mast Road, Manchester, NH 03102",603-623-9215,www.kinglanes.com,DLarochell@aol.com,,,,,,,,,,,,,,
Lakeside Lanes,"2171 Candia Road, Manchester, NH 03109",603-627-7722,www.lakesidelanes.com,,,,,,,,,,,,,,,
Leda Lanes,"340 Amherst Street, Nashua, NH 03063",603-889-4884,www.ledalanes.org,,,,,,,,,,,,,,,
Maple Lanes,"125 Maple Ave, Claremont, NH 03743",603-542-2400,,,,,,,,,,,,,,,,
Apex Entertainment (Albany),"1 Crossgates Mall Road, Albany, NY 12203",518-426-8666,www.apexentertainment.com,,,,,,,,,,,,,,,
